SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
27,109.110220389,11.8272491629,0,0,0,0,0,70,0,0,0,0
27,0,0,109.109828495,11.8249499715,0,0,0,0,0,70,0,0
27,0,0,0,0,109.110031532,11.8260984354,0,0,0,0,0,70
27,109.109828495,11.8249499715,0,0,0,0,0,70,0,0,0,0
28,0,0,109.109635434,11.8234907169,0,0,0,0,0,70,0,0
28,0,0,0,0,109.109719554,11.8242214926,0,0,0,0,0,70
28,109.109635434,11.8234907169,0,0,0,0,0,70,0,0,0,0
22,0,0,109.109630556,11.8233590251,0,0,0,0,0,70,0,0
29,0,0,0,0,109.109632995,11.823424871,0,0,0,0,0,70
26,109.109745896,11.8238646391,0,0,0,0,0,70,0,0,0,0
30,0,0,109.11030037,11.8272354698,0,0,0,0,0,70,0,0
30,0,0,0,0,109.110012101,11.8255517266,0,0,0,0,0,70
27,109.110220389,11.8272491629,0,0,0,0,0,70,0,0,0,0
30,0,0,109.11030037,11.8272354698,0,0,0,0,0,70,0,0
31,0,0,0,0,109.110260379,11.8272423163,0,0,0,0,0,70
32,109.110335196,11.8274587705,0,0,0,0,0,70,0,0,0,0
32,0,0,109.110257775,11.8274729052,0,0,0,0,0,70,0,0
32,0,0,0,0,109.110296486,11.8274658379,0,0,0,0,0,70
32,109.110257775,11.8274729052,0,0,0,0,0,70,0,0,0,0
27,0,0,109.110220389,11.8272491629,0,0,0,0,0,70,0,0
33,0,0,0,0,109.110239082,11.827361034,0,0,0,0,0,70
30,109.11030037,11.8272354698,0,0,0,0,0,70,0,0,0,0
32,0,0,109.110335196,11.8274587705,0,0,0,0,0,70,0,0
34,0,0,0,0,109.110317783,11.8273471202,0,0,0,0,0,70
35,109.110764376,11.8325280307,0,0,0,0,0,70,0,0,0,0
35,0,0,109.110850424,11.832531811,0,0,0,0,0,70,0,0
35,0,0,0,0,109.1108074,11.8325299209,0,0,0,0,0,70
36,109.110855961,11.8326091565,0,0,0,0,0,70,0,0,0,0
36,0,0,109.110772912,11.8326133865,0,0,0,0,0,70,0,0
36,0,0,0,0,109.110814436,11.8326112715,0,0,0,0,0,70
37,109.110845106,11.832457523,0,0,0,0,0,70,0,0,0,0
37,0,0,109.110760824,11.8324620776,0,0,0,0,0,70,0,0
37,0,0,0,0,109.110802965,11.8324598003,0,0,0,0,0,70
32,109.110335196,11.8274587705,0,0,0,0,0,70,0,0,0,0
37,0,0,109.110845106,11.832457523,0,0,0,0,0,70,0,0
