FID,SegmentID,Lat,Long,Note
0,123932,20.961300000000001,105.847499999999997,''
1,123934,20.961900000000000,105.847300000000004,''
2,123956,20.962299999999999,105.849000000000004,''
3,123956,20.961500000000001,105.848699999999994,''
4,123956,20.961400000000001,105.847800000000007,''
5,132738,20.960300000000000,105.850399999999993,''
6,132738,20.960100000000001,105.849599999999995,''
7,132738,20.960999999999999,105.849299999999999,''
8,132739,20.960999999999999,105.848900000000000,''
9,132739,20.960999999999999,105.849900000000005,''
10,132740,20.961300000000001,105.847399999999993,''
