SegmentID,X1,Y1,X2,Y2,X3,Y3
13691,106.355369999999990,10.467930000000001,106.355420000000000,10.468000000000000,106.355470000000000,10.468059999999999
13692,106.355270000000000,10.467800000000000,106.355320000000010,10.467870000000000,106.355369999999990,10.467930000000001
13727,106.364459999999990,10.479670000000000,106.364490000000000,10.479649999999999,106.364520000000000,10.479620000000001
13728,106.364530000000000,10.479760000000001,106.364560000000000,10.479730000000000,106.364590000000010,10.479710000000001
13729,106.364610000000000,10.479860000000000,106.364650000000000,10.479839999999999,106.364680000000010,10.479810000000001
13730,106.364380000000000,10.479570000000001,106.364410000000010,10.479540000000000,106.364440000000000,10.479520000000001
13731,106.364459999999990,10.479670000000000,106.364420000000000,10.479620000000001,106.364380000000000,10.479570000000001
13732,106.364590000000010,10.479710000000001,106.364630000000010,10.479760000000001,106.364680000000010,10.479810000000001
13733,106.364520000000000,10.479620000000001,106.364560000000000,10.479660000000001,106.364590000000010,10.479710000000001
13734,106.364440000000000,10.479520000000001,106.364480000000000,10.479570000000001,106.364520000000000,10.479620000000001
13735,106.364610000000000,10.479860000000000,106.364570000000000,10.479810000000001,106.364530000000000,10.479760000000001
13736,106.364530000000000,10.479760000000001,106.364490000000000,10.479710000000001,106.364459999999990,10.479670000000000
13753,106.370290000000000,10.487410000000001,106.370180000000000,10.487240000000000,106.370060000000000,10.487069999999999
13754,106.370060000000000,10.487069999999999,106.369519999999990,10.486250000000000,106.368990000000000,10.485420000000000
13755,106.368930000000010,10.485329999999999,106.368070000000000,10.484120000000001,106.367130000000000,10.482960000000000
13756,106.367130000000000,10.482960000000000,106.365870000000000,10.481410000000000,106.364610000000000,10.479860000000000
13757,106.369050000000000,10.485379999999999,106.369020000000010,10.485400000000000,106.368990000000000,10.485420000000000
13758,106.370080000000000,10.486960000000000,106.370210000000000,10.487159999999999,106.370340000000000,10.487370000000000
13759,106.369050000000000,10.485379999999999,106.369570000000000,10.486170000000000,106.370080000000000,10.486960000000000
13760,106.368930000000010,10.485329999999999,106.368960000000000,10.485310000000000,106.368990000000000,10.485279999999999
13761,106.368790000000000,10.484980000000000,106.368889999999990,10.485130000000000,106.368990000000000,10.485279999999999
13762,106.366560000000010,10.482130000000000,106.367700000000000,10.483530000000000,106.368790000000000,10.484980000000000
13763,106.364999999999990,10.480210000000000,106.365780000000000,10.481170000000001,106.366560000000010,10.482130000000000
13764,106.364680000000010,10.479810000000001,106.364840000000000,10.480010000000000,106.364999999999990,10.480210000000000
13765,106.368990000000000,10.485420000000000,106.368960000000000,10.485379999999999,106.368930000000010,10.485329999999999
13766,106.368990000000000,10.485279999999999,106.369020000000010,10.485329999999999,106.369050000000000,10.485379999999999
19186,106.170040000000000,10.403140000000000,106.166290000000000,10.403300000000000,106.162550000000000,10.403449999999999
19187,106.154510000000000,10.403689999999999,106.156250000000000,10.403610000000000,106.158000000000000,10.403549999999999
19188,106.158000000000000,10.403549999999999,106.159679999999990,10.403480000000000,106.161370000000010,10.403420000000001
19189,106.162100000000000,10.403390000000000,106.162290000000000,10.403380000000000,106.162480000000000,10.403370000000001
19190,106.162480000000000,10.403449999999999,106.162480000000000,10.403409999999999,106.162480000000000,10.403370000000001
19191,106.162550000000000,10.403370000000001,106.162550000000000,10.403409999999999,106.162550000000000,10.403449999999999
19192,106.162550000000000,10.403449999999999,106.162510000000000,10.403449999999999,106.162480000000000,10.403449999999999
19193,106.162480000000000,10.403370000000001,106.162510000000000,10.403370000000001,106.162550000000000,10.403370000000001
19296,106.046290000000000,10.392920000000000,106.046420000000000,10.393450000000000,106.046539999999990,10.393980000000001
20198,106.309960000000000,10.390800000000000,106.310360000000000,10.390710000000000,106.310750000000000,10.390620000000000
20199,106.305020000000000,10.392040000000000,106.304860000000010,10.392080000000000,106.304689999999990,10.392110000000001
20202,106.305880000000000,10.391850000000000,106.305809999999990,10.391859999999999,106.305740000000000,10.391880000000000
20296,106.340160000000000,10.421360000000000,106.340149999999990,10.421250000000001,106.340140000000010,10.421139999999999
20297,106.340080000000000,10.420579999999999,106.340050000000010,10.420370000000000,106.340030000000000,10.420159999999999
